timestamp,bug_title,generation_time_s,upload_time_s,total_time_s
2026-07-07T17:33:16.690Z,Area intensity does not update correctly when group intensity changes,16.7,24.6,41.3
2026-07-07T23:45:11.306Z,Demo Mode features persist after returning to Network Mode,346.6,51.3,397.9
2026-07-10T22:45:34.423Z,Groups list not populated in iOS app,164.2,33.3,197.5
2026-07-13T20:20:24.336Z,App crashes after refreshing controller list in demo mode,196.2,17.0,213.2
2026-07-14T23:30:05.097Z,Application crashes after returning to Network Mode without a connected controller,38.1,30.0,68.1
2026-07-15T17:21:32.650Z,Text 'No Color' is too close to line separation,272.0,46.9,319.0
2026-07-16T18:37:32.683Z,Popup obstructs UI elements in multiple sections,0.0,2.3,2.3
2026-07-16T18:46:14.561Z,Application exhibits no response on Android platform,0.0,0.5,0.5
2026-07-17T15:38:37.385Z,Application returns to home screen after attempting to add a new site.,0.0,0.5,0.5
2026-07-22T20:11:19.993Z,Fixture lights do not reflect intensity changes when applying an active theme,0.0,0.6,0.6
